Country,Year,Value,Indicator
French Polynesia,2017,0.0,Inflation rate
Guam,2017,2.5,Inflation rate
Kiribati,2017,0.4,Inflation rate
Marshall Islands,2017,0.3,Inflation rate
Micronesia (Federated States of),2017,0.5,Inflation rate
Nauru,2017,5.1,Inflation rate
New Caledonia,2017,1.2,Inflation rate
Niue,2017,12.7,Inflation rate
Northern Mariana Islands,2017,-0.3,Inflation rate
Palau,2017,1.0,Inflation rate
Papua New Guinea,2017,5.4,Inflation rate
Samoa,2017,1.7,Inflation rate
Solomon Islands,2017,-0.4,Inflation rate
Tokelau,2017,3.7,Inflation rate
Tonga,2017,7.6,Inflation rate
Tuvalu,2017,4.1,Inflation rate
Vanuatu,2017,3.1,Inflation rate
Wallis and Futuna,2017,-1.2,Inflation rate
American Samoa,2018,1.8,Inflation rate
Cook Islands,2018,0.1,Inflation rate
Fiji,2018,4.1,Inflation rate
French Polynesia,2018,-1.4,Inflation rate
Guam,2018,2.6,Inflation rate
Kiribati,2018,0.6,Inflation rate
Marshall Islands,2018,0.7,Inflation rate
Micronesia (Federated States of),2018,2.5,Inflation rate
Nauru,2018,6.0,Inflation rate
New Caledonia,2018,1.8,Inflation rate
Niue,2018,3.7,Inflation rate
Northern Mariana Islands,2018,3.0,Inflation rate
Palau,2018,2.2,Inflation rate
Papua New Guinea,2018,4.6,Inflation rate
Samoa,2018,4.2,Inflation rate
Solomon Islands,2018,3.5,Inflation rate
Tokelau,2018,7.3,Inflation rate
Tonga,2018,5.1,Inflation rate
Tuvalu,2018,2.2,Inflation rate
Vanuatu,2018,2.3,Inflation rate
Wallis and Futuna,2018,0.4,Inflation rate
American Samoa,2019,0.5,Inflation rate
Cook Islands,2019,0.4,Inflation rate
Fiji,2019,1.8,Inflation rate
French Polynesia,2019,1.4,Inflation rate
Guam,2019,1.8,Inflation rate
Kiribati,2019,-1.8,Inflation rate
Marshall Islands,2019,0.2,Inflation rate
Micronesia (Federated States of),2019,1.5,Inflation rate
Nauru,2019,2.8,Inflation rate
New Caledonia,2019,-0.5,Inflation rate
Niue,2019,0.2,Inflation rate
Northern Mariana Islands,2019,-0.1,Inflation rate
Palau,2019,0.2,Inflation rate
Papua New Guinea,2019,3.7,Inflation rate
Samoa,2019,1.0,Inflation rate
Solomon Islands,2019,1.6,Inflation rate
Tokelau,2019,6.5,Inflation rate
Tonga,2019,1.2,Inflation rate
Tuvalu,2019,3.5,Inflation rate
Vanuatu,2019,2.7,Inflation rate
Wallis and Futuna,2019,0.4,Inflation rate
American Samoa,2020,-0.1,Inflation rate
Cook Islands,2020,1.0,Inflation rate
Fiji,2020,-2.6,Inflation rate
French Polynesia,2020,-0.9,Inflation rate
Guam,2020,1.7,Inflation rate
Kiribati,2020,2.6,Inflation rate
Marshall Islands,2020,-0.7,Inflation rate
Micronesia (Federated States of),2020,-0.4,Inflation rate
Nauru,2020,1.2,Inflation rate
New Caledonia,2020,-0.8,Inflation rate
Niue,2020,2.6,Inflation rate
Northern Mariana Islands,2020,0.3,Inflation rate
Palau,2020,0.2,Inflation rate
Papua New Guinea,2020,4.9,Inflation rate
Samoa,2020,-1.6,Inflation rate
Solomon Islands,2020,3.0,Inflation rate
Tokelau,2020,3.0,Inflation rate
Tonga,2020,-0.3,Inflation rate
Tuvalu,2020,1.6,Inflation rate
Vanuatu,2020,5.3,Inflation rate
Wallis and Futuna,2020,-0.1,Inflation rate
American Samoa,2021,4.9,Inflation rate
Cook Islands,2021,1.0,Inflation rate
Fiji,2021,0.2,Inflation rate
French Polynesia,2021,0.5,Inflation rate
Guam,2021,3.8,Inflation rate
Kiribati,2021,1.9,Inflation rate
Marshall Islands,2021,6.6,Inflation rate
Micronesia (Federated States of),2021,1.9,Inflation rate
Nauru,2021,1.1,Inflation rate
New Caledonia,2021,1.7,Inflation rate
Niue,2021,,Inflation rate
Northern Mariana Islands,2021,,Inflation rate
Palau,2021,2.7,Inflation rate
Papua New Guinea,2021,4.5,Inflation rate
Samoa,2021,3.1,Inflation rate
Solomon Islands,2021,2.5,Inflation rate
Tokelau,2021,2.5,Inflation rate
Tonga,2021,5.6,Inflation rate
Tuvalu,2021,6.7,Inflation rate
Vanuatu,2021,5.0,Inflation rate
Wallis and Futuna,2021,1.2,Inflation rate
Cook Islands,1961,312.32,Per capita GAP
Fiji,1961,166.43,Per capita GAP
French Polynesia,1961,345.33,Per capita GAP
Kiribati,1961,103.61,Per capita GAP
Marshall Islands,1961,,Per capita GAP
Micronesia (Federated States of),1961,,Per capita GAP
Nauru,1961,84.75,Per capita GAP
New Caledonia,1961,292.49,Per capita GAP
Niue,1961,15.35,Per capita GAP
Papua New Guinea,1961,101.25,Per capita GAP
Samoa,1961,131.65,Per capita GAP
Solomon Islands,1961,174.97,Per capita GAP
Tokelau,1961,25.24,Per capita GAP
Tonga,1961,229.81,Per capita GAP
Tuvalu,1961,153.46,Per capita GAP
Vanuatu,1961,218.25,Per capita GAP
Cook Islands,1962,305.4,Per capita GAP
Fiji,1962,190.61,Per capita GAP
French Polynesia,1962,378.33,Per capita GAP
Kiribati,1962,93.78,Per capita GAP
Marshall Islands,1962,,Per capita GAP
Micronesia (Federated States of),1962,,Per capita GAP
Nauru,1962,79.62,Per capita GAP
New Caledonia,1962,283.76,Per capita GAP
Niue,1962,16.93,Per capita GAP
Papua New Guinea,1962,103.19,Per capita GAP
Samoa,1962,139.7,Per capita GAP
Solomon Islands,1962,172.02,Per capita GAP
Tokelau,1962,31.82,Per capita GAP
Tonga,1962,204.04,Per capita GAP
Tuvalu,1962,154.02,Per capita GAP
Vanuatu,1962,211.76,Per capita GAP
Cook Islands,1963,326.58,Per capita GAP
Fiji,1963,209.86,Per capita GAP
French Polynesia,1963,351.9,Per capita GAP
Kiribati,1963,83.65,Per capita GAP
Marshall Islands,1963,,Per capita GAP
Micronesia (Federated States of),1963,,Per capita GAP
Nauru,1963,74.84,Per capita GAP
New Caledonia,1963,281.43,Per capita GAP
Niue,1963,20.62,Per capita GAP
Papua New Guinea,1963,103.75,Per capita GAP
Samoa,1963,138.94,Per capita GAP
Solomon Islands,1963,172.93,Per capita GAP
Tokelau,1963,16.55,Per capita GAP
Tonga,1963,207.7,Per capita GAP
Tuvalu,1963,154.63,Per capita GAP
Vanuatu,1963,227.31,Per capita GAP
Cook Islands,1964,330.48,Per capita GAP
Fiji,1964,205.34,Per capita GAP
French Polynesia,1964,331.76,Per capita GAP
Kiribati,1964,87.87,Per capita GAP
Marshall Islands,1964,,Per capita GAP
Micronesia (Federated States of),1964,,Per capita GAP
Nauru,1964,72.51,Per capita GAP
New Caledonia,1964,286.11,Per capita GAP
Niue,1964,23.97,Per capita GAP
Papua New Guinea,1964,105.07,Per capita GAP
Samoa,1964,140.88,Per capita GAP
Solomon Islands,1964,172.68,Per capita GAP
Tokelau,1964,40.13,Per capita GAP
Tonga,1964,196.94,Per capita GAP
Tuvalu,1964,165.47,Per capita GAP
Vanuatu,1964,229.55,Per capita GAP
Cook Islands,1965,349.1,Per capita GAP
Fiji,1965,183.17,Per capita GAP
French Polynesia,1965,289.26,Per capita GAP
Kiribati,1965,111.06,Per capita GAP
Marshall Islands,1965,,Per capita GAP
Micronesia (Federated States of),1965,,Per capita GAP
Nauru,1965,77.72,Per capita GAP
New Caledonia,1965,280.67,Per capita GAP
Niue,1965,21.22,Per capita GAP
Papua New Guinea,1965,105.13,Per capita GAP
Samoa,1965,120.6,Per capita GAP
Solomon Islands,1965,169.3,Per capita GAP
Tokelau,1965,37.18,Per capita GAP
Tonga,1965,195.77,Per capita GAP
Tuvalu,1965,164.78,Per capita GAP
Vanuatu,1965,192.61,Per capita GAP
Cook Islands,1966,348.38,Per capita GAP
Fiji,1966,174.91,Per capita GAP
French Polynesia,1966,281.41,Per capita GAP
Kiribati,1966,105.57,Per capita GAP
Marshall Islands,1966,,Per capita GAP
Micronesia (Federated States of),1966,,Per capita GAP
Nauru,1966,75.21,Per capita GAP
New Caledonia,1966,266.38,Per capita GAP
Niue,1966,20.59,Per capita GAP
Papua New Guinea,1966,107.25,Per capita GAP
Samoa,1966,110.14,Per capita GAP
Solomon Islands,1966,162.38,Per capita GAP
Tokelau,1966,30.8,Per capita GAP
Tonga,1966,210.06,Per capita GAP
Tuvalu,1966,163.44,Per capita GAP
Vanuatu,1966,210.55,Per capita GAP
Cook Islands,1967,323.36,Per capita GAP
Fiji,1967,168.94,Per capita GAP
French Polynesia,1967,255.67,Per capita GAP
Kiribati,1967,117.39,Per capita GAP
Marshall Islands,1967,,Per capita GAP
Micronesia (Federated States of),1967,,Per capita GAP
Nauru,1967,74.63,Per capita GAP
New Caledonia,1967,243.72,Per capita GAP
Niue,1967,20.21,Per capita GAP
Papua New Guinea,1967,107.51,Per capita GAP
Samoa,1967,101.14,Per capita GAP
Solomon Islands,1967,161.19,Per capita GAP
Tokelau,1967,28.7,Per capita GAP
Tonga,1967,211.22,Per capita GAP
Tuvalu,1967,146.41,Per capita GAP
Vanuatu,1967,233.6,Per capita GAP
Cook Islands,1968,330.65,Per capita GAP
Fiji,1968,197.85,Per capita GAP
French Polynesia,1968,239.24,Per capita GAP
Kiribati,1968,86.65,Per capita GAP
Marshall Islands,1968,,Per capita GAP
Micronesia (Federated States of),1968,,Per capita GAP
Nauru,1968,73.64,Per capita GAP
New Caledonia,1968,241.26,Per capita GAP
Niue,1968,21.17,Per capita GAP
Papua New Guinea,1968,107.83,Per capita GAP
Samoa,1968,111.89,Per capita GAP
Solomon Islands,1968,149.26,Per capita GAP
Tokelau,1968,32.34,Per capita GAP
Tonga,1968,190.91,Per capita GAP
Tuvalu,1968,134.77,Per capita GAP
Vanuatu,1968,205.69,Per capita GAP
Cook Islands,1969,347.59,Per capita GAP
Fiji,1969,184.24,Per capita GAP
French Polynesia,1969,297.45,Per capita GAP
Kiribati,1969,86.76,Per capita GAP
Marshall Islands,1969,,Per capita GAP
Micronesia (Federated States of),1969,,Per capita GAP
Nauru,1969,77.56,Per capita GAP
New Caledonia,1969,228.72,Per capita GAP
Niue,1969,21.16,Per capita GAP
Papua New Guinea,1969,109.71,Per capita GAP
Samoa,1969,119.46,Per capita GAP
Solomon Islands,1969,158.69,Per capita GAP
Tokelau,1969,33.5,Per capita GAP
Tonga,1969,188.71,Per capita GAP
Tuvalu,1969,121.29,Per capita GAP
Vanuatu,1969,210.18,Per capita GAP
Cook Islands,1970,345.16,Per capita GAP
Fiji,1970,193.19,Per capita GAP
French Polynesia,1970,275.05,Per capita GAP
Kiribati,1970,89.73,Per capita GAP
Marshall Islands,1970,,Per capita GAP
Micronesia (Federated States of),1970,,Per capita GAP
Nauru,1970,77.93,Per capita GAP
New Caledonia,1970,206.28,Per capita GAP
Niue,1970,26.81,Per capita GAP
Papua New Guinea,1970,110.84,Per capita GAP
Samoa,1970,106.26,Per capita GAP
Solomon Islands,1970,167.19,Per capita GAP
Tokelau,1970,35.37,Per capita GAP
Tonga,1970,166.82,Per capita GAP
Tuvalu,1970,110.0,Per capita GAP
Vanuatu,1970,193.59,Per capita GAP
Cook Islands,1971,357.15,Per capita GAP
Fiji,1971,175.92,Per capita GAP
French Polynesia,1971,248.88,Per capita GAP
Kiribati,1971,100.62,Per capita GAP
Marshall Islands,1971,,Per capita GAP
Micronesia (Federated States of),1971,,Per capita GAP
Nauru,1971,78.11,Per capita GAP
New Caledonia,1971,213.58,Per capita GAP
Niue,1971,28.77,Per capita GAP
Papua New Guinea,1971,110.67,Per capita GAP
Samoa,1971,122.44,Per capita GAP
Solomon Islands,1971,165.52,Per capita GAP
Tokelau,1971,36.88,Per capita GAP
Tonga,1971,169.97,Per capita GAP
Tuvalu,1971,144.47,Per capita GAP
Vanuatu,1971,203.54,Per capita GAP
Cook Islands,1972,338.41,Per capita GAP
Fiji,1972,155.37,Per capita GAP
French Polynesia,1972,221.8,Per capita GAP
Kiribati,1972,76.3,Per capita GAP
Marshall Islands,1972,,Per capita GAP
Micronesia (Federated States of),1972,,Per capita GAP
Nauru,1972,77.34,Per capita GAP
New Caledonia,1972,214.35,Per capita GAP
Niue,1972,27.15,Per capita GAP
Papua New Guinea,1972,111.47,Per capita GAP
Samoa,1972,114.65,Per capita GAP
Solomon Islands,1972,156.03,Per capita GAP
Tokelau,1972,35.1,Per capita GAP
Tonga,1972,183.09,Per capita GAP
Tuvalu,1972,77.25,Per capita GAP
Vanuatu,1972,153.27,Per capita GAP
Cook Islands,1973,428.3,Per capita GAP
Fiji,1973,158.25,Per capita GAP
French Polynesia,1973,181.19,Per capita GAP
Kiribati,1973,97.04,Per capita GAP
Marshall Islands,1973,,Per capita GAP
Micronesia (Federated States of),1973,,Per capita GAP
Nauru,1973,78.75,Per capita GAP
New Caledonia,1973,201.17,Per capita GAP
Niue,1973,31.52,Per capita GAP
Papua New Guinea,1973,110.18,Per capita GAP
Samoa,1973,110.77,Per capita GAP
Solomon Islands,1973,153.62,Per capita GAP
Tokelau,1973,36.26,Per capita GAP
Tonga,1973,171.63,Per capita GAP
Tuvalu,1973,69.43,Per capita GAP
Vanuatu,1973,165.58,Per capita GAP
Cook Islands,1974,413.83,Per capita GAP
Fiji,1974,143.37,Per capita GAP
French Polynesia,1974,164.98,Per capita GAP
Kiribati,1974,115.34,Per capita GAP
Marshall Islands,1974,,Per capita GAP
Micronesia (Federated States of),1974,,Per capita GAP
Nauru,1974,80.59,Per capita GAP
New Caledonia,1974,155.06,Per capita GAP
Niue,1974,38.9,Per capita GAP
Papua New Guinea,1974,113.76,Per capita GAP
Samoa,1974,116.09,Per capita GAP
Solomon Islands,1974,151.63,Per capita GAP
Tokelau,1974,53.6,Per capita GAP
Tonga,1974,182.61,Per capita GAP
Tuvalu,1974,164.25,Per capita GAP
Vanuatu,1974,198.59,Per capita GAP
Cook Islands,1975,376.84,Per capita GAP
Fiji,1975,141.11,Per capita GAP
French Polynesia,1975,226.52,Per capita GAP
Kiribati,1975,71.38,Per capita GAP
Marshall Islands,1975,,Per capita GAP
Micronesia (Federated States of),1975,,Per capita GAP
Nauru,1975,82.78,Per capita GAP
New Caledonia,1975,162.28,Per capita GAP
Niue,1975,39.86,Per capita GAP
Papua New Guinea,1975,112.48,Per capita GAP
Samoa,1975,113.92,Per capita GAP
Solomon Islands,1975,151.06,Per capita GAP
Tokelau,1975,58.42,Per capita GAP
Tonga,1975,193.72,Per capita GAP
Tuvalu,1975,80.79,Per capita GAP
Vanuatu,1975,189.69,Per capita GAP
Cook Islands,1976,401.98,Per capita GAP
Fiji,1976,142.83,Per capita GAP
French Polynesia,1976,203.07,Per capita GAP
Kiribati,1976,90.61,Per capita GAP
Marshall Islands,1976,,Per capita GAP
Micronesia (Federated States of),1976,,Per capita GAP
Nauru,1976,56.51,Per capita GAP
New Caledonia,1976,141.8,Per capita GAP
Niue,1976,37.76,Per capita GAP
Papua New Guinea,1976,112.66,Per capita GAP
Samoa,1976,112.74,Per capita GAP
Solomon Islands,1976,152.6,Per capita GAP
Tokelau,1976,34.92,Per capita GAP
Tonga,1976,189.56,Per capita GAP
Tuvalu,1976,64.51,Per capita GAP
Vanuatu,1976,196.69,Per capita GAP
Cook Islands,1977,382.27,Per capita GAP
Fiji,1977,158.5,Per capita GAP
French Polynesia,1977,174.56,Per capita GAP
Kiribati,1977,90.44,Per capita GAP
Marshall Islands,1977,,Per capita GAP
Micronesia (Federated States of),1977,,Per capita GAP
Nauru,1977,67.95,Per capita GAP
New Caledonia,1977,143.12,Per capita GAP
Niue,1977,43.77,Per capita GAP
Papua New Guinea,1977,111.01,Per capita GAP
Samoa,1977,117.8,Per capita GAP
Solomon Islands,1977,152.22,Per capita GAP
Tokelau,1977,27.45,Per capita GAP
Tonga,1977,179.37,Per capita GAP
Tuvalu,1977,85.19,Per capita GAP
Vanuatu,1977,205.53,Per capita GAP
Cook Islands,1978,379.77,Per capita GAP
Fiji,1978,159.37,Per capita GAP
French Polynesia,1978,159.37,Per capita GAP
Kiribati,1978,102.68,Per capita GAP
Marshall Islands,1978,,Per capita GAP
Micronesia (Federated States of),1978,,Per capita GAP
Nauru,1978,72.73,Per capita GAP
New Caledonia,1978,138.75,Per capita GAP
Niue,1978,45.71,Per capita GAP
Papua New Guinea,1978,111.28,Per capita GAP
Samoa,1978,110.35,Per capita GAP
Solomon Islands,1978,154.71,Per capita GAP
Tokelau,1978,25.11,Per capita GAP
Tonga,1978,156.49,Per capita GAP
Tuvalu,1978,144.31,Per capita GAP
Vanuatu,1978,210.55,Per capita GAP
Cook Islands,1979,395.85,Per capita GAP
Fiji,1979,190.96,Per capita GAP
French Polynesia,1979,164.61,Per capita GAP
Kiribati,1979,93.26,Per capita GAP
Marshall Islands,1979,,Per capita GAP
Micronesia (Federated States of),1979,,Per capita GAP
Nauru,1979,76.83,Per capita GAP
New Caledonia,1979,139.21,Per capita GAP
Niue,1979,49.37,Per capita GAP
Papua New Guinea,1979,109.8,Per capita GAP
Samoa,1979,124.46,Per capita GAP
Solomon Islands,1979,167.68,Per capita GAP
Tokelau,1979,33.19,Per capita GAP
Tonga,1979,154.64,Per capita GAP
Tuvalu,1979,144.4,Per capita GAP
Vanuatu,1979,202.64,Per capita GAP
Cook Islands,1980,406.25,Per capita GAP
Fiji,1980,172.34,Per capita GAP
French Polynesia,1980,190.91,Per capita GAP
Kiribati,1980,84.44,Per capita GAP
Marshall Islands,1980,,Per capita GAP
Micronesia (Federated States of),1980,,Per capita GAP
Nauru,1980,80.91,Per capita GAP
New Caledonia,1980,148.22,Per capita GAP
Niue,1980,50.11,Per capita GAP
Papua New Guinea,1980,110.91,Per capita GAP
Samoa,1980,128.23,Per capita GAP
Solomon Islands,1980,164.87,Per capita GAP
Tokelau,1980,36.32,Per capita GAP
Tonga,1980,165.66,Per capita GAP
Tuvalu,1980,134.62,Per capita GAP
Vanuatu,1980,173.5,Per capita GAP
Cook Islands,1981,445.21,Per capita GAP
Fiji,1981,184.66,Per capita GAP
French Polynesia,1981,165.04,Per capita GAP
Kiribati,1981,103.61,Per capita GAP
Marshall Islands,1981,,Per capita GAP
Micronesia (Federated States of),1981,,Per capita GAP
Nauru,1981,85.39,Per capita GAP
New Caledonia,1981,133.65,Per capita GAP
Niue,1981,55.34,Per capita GAP
Papua New Guinea,1981,109.02,Per capita GAP
Samoa,1981,122.08,Per capita GAP
Solomon Islands,1981,173.7,Per capita GAP
Tokelau,1981,39.04,Per capita GAP
Tonga,1981,160.66,Per capita GAP
Tuvalu,1981,130.23,Per capita GAP
Vanuatu,1981,200.57,Per capita GAP
Cook Islands,1982,412.79,Per capita GAP
Fiji,1982,184.67,Per capita GAP
French Polynesia,1982,174.42,Per capita GAP
Kiribati,1982,95.55,Per capita GAP
Marshall Islands,1982,,Per capita GAP
Micronesia (Federated States of),1982,,Per capita GAP
Nauru,1982,86.5,Per capita GAP
New Caledonia,1982,131.26,Per capita GAP
Niue,1982,54.19,Per capita GAP
Papua New Guinea,1982,107.12,Per capita GAP
Samoa,1982,136.33,Per capita GAP
Solomon Islands,1982,166.17,Per capita GAP
Tokelau,1982,41.85,Per capita GAP
Tonga,1982,128.03,Per capita GAP
Tuvalu,1982,89.9,Per capita GAP
Vanuatu,1982,174.17,Per capita GAP
Cook Islands,1983,358.46,Per capita GAP
Fiji,1983,135.72,Per capita GAP
French Polynesia,1983,125.74,Per capita GAP
Kiribati,1983,79.21,Per capita GAP
Marshall Islands,1983,,Per capita GAP
Micronesia (Federated States of),1983,,Per capita GAP
Nauru,1983,82.4,Per capita GAP
New Caledonia,1983,139.57,Per capita GAP
Niue,1983,60.13,Per capita GAP
Papua New Guinea,1983,108.49,Per capita GAP
Samoa,1983,125.88,Per capita GAP
Solomon Islands,1983,160.78,Per capita GAP
Tokelau,1983,42.45,Per capita GAP
Tonga,1983,128.57,Per capita GAP
Tuvalu,1983,93.37,Per capita GAP
Vanuatu,1983,184.77,Per capita GAP
Cook Islands,1984,367.06,Per capita GAP
Fiji,1984,190.76,Per capita GAP
French Polynesia,1984,112.82,Per capita GAP
Kiribati,1984,110.99,Per capita GAP
Marshall Islands,1984,,Per capita GAP
Micronesia (Federated States of),1984,,Per capita GAP
Nauru,1984,73.95,Per capita GAP
New Caledonia,1984,134.77,Per capita GAP
Niue,1984,59.82,Per capita GAP
Papua New Guinea,1984,108.15,Per capita GAP
Samoa,1984,120.66,Per capita GAP
Solomon Islands,1984,176.84,Per capita GAP
Tokelau,1984,41.3,Per capita GAP
Tonga,1984,129.86,Per capita GAP
Tuvalu,1984,98.32,Per capita GAP
Vanuatu,1984,200.07,Per capita GAP
Cook Islands,1985,359.73,Per capita GAP
Fiji,1985,159.61,Per capita GAP
French Polynesia,1985,141.85,Per capita GAP
Kiribati,1985,109.6,Per capita GAP
Marshall Islands,1985,,Per capita GAP
Micronesia (Federated States of),1985,,Per capita GAP
Nauru,1985,76.67,Per capita GAP
New Caledonia,1985,149.9,Per capita GAP
Niue,1985,62.98,Per capita GAP
Papua New Guinea,1985,109.58,Per capita GAP
Samoa,1985,126.21,Per capita GAP
Solomon Islands,1985,177.81,Per capita GAP
Tokelau,1985,42.59,Per capita GAP
Tonga,1985,126.09,Per capita GAP
Tuvalu,1985,101.92,Per capita GAP
Vanuatu,1985,180.92,Per capita GAP
Cook Islands,1986,323.04,Per capita GAP
Fiji,1986,188.85,Per capita GAP
French Polynesia,1986,137.54,Per capita GAP
Kiribati,1986,114.49,Per capita GAP
Marshall Islands,1986,,Per capita GAP
Micronesia (Federated States of),1986,,Per capita GAP
Nauru,1986,77.37,Per capita GAP
New Caledonia,1986,139.81,Per capita GAP
Niue,1986,67.22,Per capita GAP
Papua New Guinea,1986,105.46,Per capita GAP
Samoa,1986,126.86,Per capita GAP
Solomon Islands,1986,170.4,Per capita GAP
Tokelau,1986,44.34,Per capita GAP
Tonga,1986,137.01,Per capita GAP
Tuvalu,1986,94.51,Per capita GAP
Vanuatu,1986,183.49,Per capita GAP
Cook Islands,1987,283.82,Per capita GAP
Fiji,1987,154.1,Per capita GAP
French Polynesia,1987,135.18,Per capita GAP
Kiribati,1987,118.65,Per capita GAP
Marshall Islands,1987,,Per capita GAP
Micronesia (Federated States of),1987,,Per capita GAP
Nauru,1987,77.96,Per capita GAP
New Caledonia,1987,123.79,Per capita GAP
Niue,1987,70.83,Per capita GAP
Papua New Guinea,1987,107.09,Per capita GAP
Samoa,1987,122.31,Per capita GAP
Solomon Islands,1987,132.67,Per capita GAP
Tokelau,1987,47.54,Per capita GAP
Tonga,1987,121.99,Per capita GAP
Tuvalu,1987,84.61,Per capita GAP
Vanuatu,1987,182.73,Per capita GAP
Cook Islands,1988,299.12,Per capita GAP
Fiji,1988,158.65,Per capita GAP
French Polynesia,1988,121.1,Per capita GAP
Kiribati,1988,122.92,Per capita GAP
Marshall Islands,1988,,Per capita GAP
Micronesia (Federated States of),1988,,Per capita GAP
Nauru,1988,78.01,Per capita GAP
New Caledonia,1988,117.43,Per capita GAP
Niue,1988,75.06,Per capita GAP
Papua New Guinea,1988,106.53,Per capita GAP
Samoa,1988,118.61,Per capita GAP
Solomon Islands,1988,133.27,Per capita GAP
Tokelau,1988,50.02,Per capita GAP
Tonga,1988,112.74,Per capita GAP
Tuvalu,1988,79.42,Per capita GAP
Vanuatu,1988,164.56,Per capita GAP
Cook Islands,1989,270.0,Per capita GAP
Fiji,1989,185.72,Per capita GAP
French Polynesia,1989,120.72,Per capita GAP
Kiribati,1989,85.18,Per capita GAP
Marshall Islands,1989,,Per capita GAP
Micronesia (Federated States of),1989,,Per capita GAP
Nauru,1989,76.99,Per capita GAP
New Caledonia,1989,115.94,Per capita GAP
Niue,1989,77.62,Per capita GAP
Papua New Guinea,1989,105.03,Per capita GAP
Samoa,1989,112.99,Per capita GAP
Solomon Islands,1989,135.05,Per capita GAP
Tokelau,1989,52.61,Per capita GAP
Tonga,1989,112.32,Per capita GAP
Tuvalu,1989,81.94,Per capita GAP
Vanuatu,1989,143.53,Per capita GAP
Cook Islands,1990,233.3,Per capita GAP
Fiji,1990,191.15,Per capita GAP
French Polynesia,1990,128.69,Per capita GAP
Kiribati,1990,69.86,Per capita GAP
Marshall Islands,1990,,Per capita GAP
Micronesia (Federated States of),1990,,Per capita GAP
Nauru,1990,77.32,Per capita GAP
New Caledonia,1990,118.54,Per capita GAP
Niue,1990,50.33,Per capita GAP
Papua New Guinea,1990,102.72,Per capita GAP
Samoa,1990,99.4,Per capita GAP
Solomon Islands,1990,129.98,Per capita GAP
Tokelau,1990,54.88,Per capita GAP
Tonga,1990,109.37,Per capita GAP
Tuvalu,1990,71.93,Per capita GAP
Vanuatu,1990,181.1,Per capita GAP
Cook Islands,1991,231.9,Per capita GAP
Fiji,1991,151.19,Per capita GAP
French Polynesia,1991,115.8,Per capita GAP
Kiribati,1991,76.26,Per capita GAP
Marshall Islands,1991,113.82,Per capita GAP
Micronesia (Federated States of),1991,22.28,Per capita GAP
Nauru,1991,81.21,Per capita GAP
New Caledonia,1991,118.49,Per capita GAP
Niue,1991,58.16,Per capita GAP
Papua New Guinea,1991,100.68,Per capita GAP
Samoa,1991,80.66,Per capita GAP
Solomon Islands,1991,136.48,Per capita GAP
Tokelau,1991,58.48,Per capita GAP
Tonga,1991,111.82,Per capita GAP
Tuvalu,1991,114.79,Per capita GAP
Vanuatu,1991,152.81,Per capita GAP
Cook Islands,1992,219.1,Per capita GAP
Fiji,1992,149.21,Per capita GAP
French Polynesia,1992,111.48,Per capita GAP
Kiribati,1992,76.9,Per capita GAP
Marshall Islands,1992,155.66,Per capita GAP
Micronesia (Federated States of),1992,21.75,Per capita GAP
Nauru,1992,81.42,Per capita GAP
New Caledonia,1992,121.67,Per capita GAP
Niue,1992,62.79,Per capita GAP
Papua New Guinea,1992,103.09,Per capita GAP
Samoa,1992,80.61,Per capita GAP
Solomon Islands,1992,139.47,Per capita GAP
Tokelau,1992,60.85,Per capita GAP
Tonga,1992,110.44,Per capita GAP
Tuvalu,1992,97.33,Per capita GAP
Vanuatu,1992,144.57,Per capita GAP
Cook Islands,1993,212.09,Per capita GAP
Fiji,1993,151.71,Per capita GAP
French Polynesia,1993,110.28,Per capita GAP
Kiribati,1993,76.2,Per capita GAP
Marshall Islands,1993,120.18,Per capita GAP
Micronesia (Federated States of),1993,21.18,Per capita GAP
Nauru,1993,81.16,Per capita GAP
New Caledonia,1993,123.5,Per capita GAP
Niue,1993,66.95,Per capita GAP
Papua New Guinea,1993,104.86,Per capita GAP
Samoa,1993,77.76,Per capita GAP
Solomon Islands,1993,134.0,Per capita GAP
Tokelau,1993,63.38,Per capita GAP
Tonga,1993,136.0,Per capita GAP
Tuvalu,1993,85.66,Per capita GAP
Vanuatu,1993,142.52,Per capita GAP
Cook Islands,1994,187.95,Per capita GAP
Fiji,1994,159.88,Per capita GAP
French Polynesia,1994,108.69,Per capita GAP
Kiribati,1994,76.03,Per capita GAP
Marshall Islands,1994,126.42,Per capita GAP
Micronesia (Federated States of),1994,20.85,Per capita GAP
Nauru,1994,80.8,Per capita GAP
New Caledonia,1994,126.93,Per capita GAP
Niue,1994,69.27,Per capita GAP
Papua New Guinea,1994,102.42,Per capita GAP
Samoa,1994,77.01,Per capita GAP
Solomon Islands,1994,131.04,Per capita GAP
Tokelau,1994,64.7,Per capita GAP
Tonga,1994,118.61,Per capita GAP
Tuvalu,1994,84.01,Per capita GAP
Vanuatu,1994,141.42,Per capita GAP
Cook Islands,1995,183.2,Per capita GAP
Fiji,1995,162.5,Per capita GAP
French Polynesia,1995,113.83,Per capita GAP
Kiribati,1995,75.37,Per capita GAP
Marshall Islands,1995,199.4,Per capita GAP
Micronesia (Federated States of),1995,93.09,Per capita GAP
Nauru,1995,81.15,Per capita GAP
New Caledonia,1995,120.28,Per capita GAP
Niue,1995,71.92,Per capita GAP
