Year,Income Group,Indicator,Avg_Income
2017,Upper middle income,Labor Force Participation Rate,58.6
2017,Upper middle income,Land Degradation,61.9
2017,Upper middle income,Literacy Rate,94.2
2017,Upper middle income,Manufactured Capital,55.4
2017,Upper middle income,Micronutrient Availability,67.5
2017,Upper middle income,Natural Capital,45.2
2017,Upper middle income,Natural Hazard Exposure,68.4
2017,Upper middle income,Nutritional Standards,71.7
2017,Upper middle income,Per Capita GDP,50.5
2017,Upper middle income,Political Stability Risk,55.0
2017,Upper middle income,Population Growth Rate,78.5
2017,Upper middle income,Poverty Population,91.1
2017,Upper middle income,Protein Quality,71.5
2017,Upper middle income,Social Capital,62.0
2017,Upper middle income,Soil Organic Content,32.0
2017,Upper middle income,Supply Chain Infrastructure,48.7
2017,Upper middle income,Sustainable Agriculture,65.2
2017,Upper middle income,Telecommunications,78.2
2018,High income,Access to Agricultural Resources,54.9
2018,High income,Access to Diversified Financial Services,82.4
2018,High income,Access to Financial Services,98.6
2018,High income,Adoptation of Innovative Technologies,72.1
2018,High income,Agricultural GDP,96.3
2018,High income,Agricultural Production Volatility,68.4
2018,High income,Agricultural R&D,41.4
2018,High income,Agricultural Trade,78.7
2018,High income,Agricultural Water Quality,87.8
2018,High income,Agricultural Water Quantity,39.9
2018,High income,Agricultural Women Empowerment,18.9
2018,High income,Armed Conflict,93.2
2018,High income,Biodiversity and Habitat,59.7
2018,High income,Community Organizations,89.2
2018,High income,Corruption,68.2
2018,High income,Crop Storage Facilities,83.8
2018,High income,Dependency on Chronic Food Aid,97.3
2018,High income,Disaster Risk Management,61.7
2018,High income,Early Warning Measures,70.3
2018,High income,Ecosystem Services,37.2
2018,High income,Financial Capital,82.8
2018,High income,Food Dietary Diversity,61.2
2018,High income,Food Loss,86.5
2018,High income,Food Price Volatility,92.6
2018,High income,Food Safety,98.2
2018,High income,Food Safety Net Programs,99.3
2018,High income,Food Security Policy Commitment,30.4
2018,High income,Food Supply Sufficiency,85.0
2018,High income,Food Systems Resilience Score,70.6
2018,High income,Forest Change,75.0
2018,High income,Gender Equality,84.2
2018,High income,Green House Emission Per Capita,26.8
2018,High income,Human Capital,80.5
2018,High income,Income Inequality,72.6
2018,High income,Irrigation Infrastructure,26.2
2018,High income,KOFGI Globalization Index,74.8
2018,High income,Labor Force Participation Rate,62.3
2018,High income,Land Degradation,81.5
2018,High income,Literacy Rate,97.3
2018,High income,Manufactured Capital,65.7
2018,High income,Micronutrient Availability,70.9
2018,High income,Natural Capital,50.5
2018,High income,Natural Hazard Exposure,68.7
2018,High income,Nutritional Standards,85.6
2018,High income,Per Capita GDP,75.1
2018,High income,Political Stability Risk,71.2
2018,High income,Population Growth Rate,83.4
2018,High income,Poverty Population,98.9
2018,High income,Protein Quality,94.4
2018,High income,Social Capital,73.8
2018,High income,Soil Organic Content,36.0
2018,High income,Supply Chain Infrastructure,73.6
2018,High income,Sustainable Agriculture,78.4
2018,High income,Telecommunications,80.0
2018,Low income,Access to Agricultural Resources,49.3
2018,Low income,Access to Diversified Financial Services,5.6
2018,Low income,Access to Financial Services,25.0
2018,Low income,Adoptation of Innovative Technologies,31.5
2018,Low income,Agricultural GDP,55.3
2018,Low income,Agricultural Production Volatility,62.0
2018,Low income,Agricultural R&D,17.3
2018,Low income,Agricultural Trade,61.7
2018,Low income,Agricultural Water Quality,4.2
2018,Low income,Agricultural Water Quantity,41.7
2018,Low income,Agricultural Women Empowerment,27.8
2018,Low income,Armed Conflict,55.6
2018,Low income,Biodiversity and Habitat,49.0
2018,Low income,Community Organizations,58.3
2018,Low income,Corruption,18.1
2018,Low income,Crop Storage Facilities,77.8
2018,Low income,Dependency on Chronic Food Aid,44.4
2018,Low income,Disaster Risk Management,31.7
2018,Low income,Early Warning Measures,47.2
2018,Low income,Ecosystem Services,32.1
2018,Low income,Financial Capital,38.0
2018,Low income,Food Dietary Diversity,43.9
2018,Low income,Food Loss,67.8
2018,Low income,Food Price Volatility,48.8
2018,Low income,Food Safety,34.8
2018,Low income,Food Safety Net Programs,28.2
2018,Low income,Food Security Policy Commitment,41.8
2018,Low income,Food Supply Sufficiency,38.6
2018,Low income,Food Systems Resilience Score,45.0
2018,Low income,Forest Change,67.3
2018,Low income,Gender Equality,41.1
2018,Low income,Green House Emission Per Capita,82.8
2018,Low income,Human Capital,53.1
2018,Low income,Income Inequality,32.5
2018,Low income,Irrigation Infrastructure,3.0
2018,Low income,KOFGI Globalization Index,45.8
2018,Low income,Labor Force Participation Rate,66.7
2018,Low income,Land Degradation,72.3
2018,Low income,Literacy Rate,55.0
2018,Low income,Manufactured Capital,36.9
2018,Low income,Micronutrient Availability,72.4
2018,Low income,Natural Capital,50.3
2018,Low income,Natural Hazard Exposure,65.7
2018,Low income,Nutritional Standards,48.6
2018,Low income,Per Capita GDP,15.6
2018,Low income,Political Stability Risk,36.9
2018,Low income,Population Growth Rate,49.4
2018,Low income,Poverty Population,27.8
2018,Low income,Protein Quality,41.3
2018,Low income,Social Capital,40.1
2018,Low income,Soil Organic Content,19.0
2018,Low income,Supply Chain Infrastructure,26.1
2018,Low income,Sustainable Agriculture,44.4
2018,Low income,Telecommunications,29.0
2018,Lower middle income,Access to Agricultural Resources,56.9
2018,Lower middle income,Access to Diversified Financial Services,33.9
2018,Lower middle income,Access to Financial Services,53.2
2018,Lower middle income,Adoptation of Innovative Technologies,29.0
2018,Lower middle income,Agricultural GDP,74.3
2018,Lower middle income,Agricultural Production Volatility,76.0
2018,Lower middle income,Agricultural R&D,18.1
2018,Lower middle income,Agricultural Trade,64.3
2018,Lower middle income,Agricultural Water Quality,11.7
2018,Lower middle income,Agricultural Water Quantity,40.6
2018,Lower middle income,Agricultural Women Empowerment,29.0
2018,Lower middle income,Armed Conflict,64.5
2018,Lower middle income,Biodiversity and Habitat,42.1
2018,Lower middle income,Community Organizations,82.3
2018,Lower middle income,Corruption,18.5
2018,Lower middle income,Crop Storage Facilities,80.6
2018,Lower middle income,Dependency on Chronic Food Aid,58.1
2018,Lower middle income,Disaster Risk Management,34.0
2018,Lower middle income,Early Warning Measures,24.2
2018,Lower middle income,Ecosystem Services,33.7
2018,Lower middle income,Financial Capital,55.6
2018,Lower middle income,Food Dietary Diversity,44.9
2018,Lower middle income,Food Loss,66.9
2018,Lower middle income,Food Price Volatility,68.0
2018,Lower middle income,Food Safety,73.6
2018,Lower middle income,Food Safety Net Programs,61.4
2018,Lower middle income,Food Security Policy Commitment,52.1
2018,Lower middle income,Food Supply Sufficiency,55.9
2018,Lower middle income,Food Systems Resilience Score,53.4
2018,Lower middle income,Forest Change,64.6
2018,Lower middle income,Gender Equality,52.8
2018,Lower middle income,Green House Emission Per Capita,69.6
2018,Lower middle income,Human Capital,62.8
2018,Lower middle income,Income Inequality,46.6
2018,Lower middle income,Irrigation Infrastructure,27.3
2018,Lower middle income,KOFGI Globalization Index,54.1
2018,Lower middle income,Labor Force Participation Rate,59.8
2018,Lower middle income,Land Degradation,58.4
2018,Lower middle income,Literacy Rate,80.8
2018,Lower middle income,Manufactured Capital,45.2
2018,Lower middle income,Micronutrient Availability,61.4
2018,Lower middle income,Natural Capital,47.7
2018,Lower middle income,Natural Hazard Exposure,67.5
2018,Lower middle income,Nutritional Standards,67.3
2018,Lower middle income,Per Capita GDP,34.2
2018,Lower middle income,Political Stability Risk,47.4
2018,Lower middle income,Population Growth Rate,65.2
2018,Lower middle income,Poverty Population,62.7
2018,Lower middle income,Protein Quality,51.4
2018,Lower middle income,Social Capital,53.4
2018,Lower middle income,Soil Organic Content,25.0
2018,Lower middle income,Supply Chain Infrastructure,33.4
2018,Lower middle income,Sustainable Agriculture,43.5
2018,Lower middle income,Telecommunications,58.8
2018,Upper middle income,Access to Agricultural Resources,54.6
2018,Upper middle income,Access to Diversified Financial Services,56.5
2018,Upper middle income,Access to Financial Services,87.0
2018,Upper middle income,Adoptation of Innovative Technologies,56.5
2018,Upper middle income,Agricultural GDP,87.7
2018,Upper middle income,Agricultural Production Volatility,69.6
2018,Upper middle income,Agricultural R&D,36.5
2018,Upper middle income,Agricultural Trade,73.9
2018,Upper middle income,Agricultural Water Quality,39.1
2018,Upper middle income,Agricultural Water Quantity,39.1
2018,Upper middle income,Agricultural Women Empowerment,23.9
2018,Upper middle income,Armed Conflict,78.3
2018,Upper middle income,Biodiversity and Habitat,48.0
2018,Upper middle income,Community Organizations,93.5
2018,Upper middle income,Corruption,34.8
2018,Upper middle income,Crop Storage Facilities,78.3
2018,Upper middle income,Dependency on Chronic Food Aid,65.2
2018,Upper middle income,Disaster Risk Management,60.3
2018,Upper middle income,Early Warning Measures,23.9
2018,Upper middle income,Ecosystem Services,32.7
2018,Upper middle income,Financial Capital,68.2
2018,Upper middle income,Food Dietary Diversity,52.2
2018,Upper middle income,Food Loss,75.5
2018,Upper middle income,Food Price Volatility,73.8
2018,Upper middle income,Food Safety,92.3
2018,Upper middle income,Food Safety Net Programs,97.0
2018,Upper middle income,Food Security Policy Commitment,41.6
2018,Upper middle income,Food Supply Sufficiency,61.8
2018,Upper middle income,Food Systems Resilience Score,61.6
2018,Upper middle income,Forest Change,70.7
2018,Upper middle income,Gender Equality,65.7
2018,Upper middle income,Green House Emission Per Capita,43.8
2018,Upper middle income,Human Capital,73.3
2018,Upper middle income,Income Inequality,54.4
2018,Upper middle income,Irrigation Infrastructure,17.2
2018,Upper middle income,KOFGI Globalization Index,62.3
2018,Upper middle income,Labor Force Participation Rate,58.5
2018,Upper middle income,Land Degradation,61.9
2018,Upper middle income,Literacy Rate,94.7
2018,Upper middle income,Manufactured Capital,55.1
2018,Upper middle income,Micronutrient Availability,67.0
2018,Upper middle income,Natural Capital,45.4
2018,Upper middle income,Natural Hazard Exposure,68.4
2018,Upper middle income,Nutritional Standards,74.7
2018,Upper middle income,Per Capita GDP,51.1
2018,Upper middle income,Political Stability Risk,55.0
2018,Upper middle income,Population Growth Rate,80.2
2018,Upper middle income,Poverty Population,91.4
2018,Upper middle income,Protein Quality,73.0
2018,Upper middle income,Social Capital,63.0
2018,Upper middle income,Soil Organic Content,32.0
2018,Upper middle income,Supply Chain Infrastructure,48.7
2018,Upper middle income,Sustainable Agriculture,65.2
2018,Upper middle income,Telecommunications,76.1
2019,High income,Access to Agricultural Resources,51.8
2019,High income,Access to Diversified Financial Services,82.4
2019,High income,Access to Financial Services,98.6
2019,High income,Adoptation of Innovative Technologies,74.8
2019,High income,Agricultural GDP,96.3
2019,High income,Agricultural Production Volatility,66.3
2019,High income,Agricultural R&D,40.5
2019,High income,Agricultural Trade,77.9
2019,High income,Agricultural Water Quality,87.8
2019,High income,Agricultural Water Quantity,39.9
2019,High income,Agricultural Women Empowerment,18.9
2019,High income,Armed Conflict,93.2
2019,High income,Biodiversity and Habitat,60.2
2019,High income,Community Organizations,89.2
2019,High income,Corruption,69.6
2019,High income,Crop Storage Facilities,83.8
2019,High income,Dependency on Chronic Food Aid,100.0
2019,High income,Disaster Risk Management,65.4
2019,High income,Early Warning Measures,70.3
2019,High income,Ecosystem Services,36.6
2019,High income,Financial Capital,82.9
2019,High income,Food Dietary Diversity,62.0
2019,High income,Food Loss,86.4
2019,High income,Food Price Volatility,91.0
2019,High income,Food Safety,96.0
2019,High income,Food Safety Net Programs,99.3
2019,High income,Food Security Policy Commitment,33.1
2019,High income,Food Supply Sufficiency,86.5
2019,High income,Food Systems Resilience Score,70.2
2019,High income,Forest Change,74.8
2019,High income,Gender Equality,85.7
2019,High income,Green House Emission Per Capita,27.0
2019,High income,Human Capital,78.8
2019,High income,Income Inequality,73.3
2019,High income,Irrigation Infrastructure,26.3
2019,High income,KOFGI Globalization Index,74.8
2019,High income,Labor Force Participation Rate,62.4
2019,High income,Land Degradation,81.5
2019,High income,Literacy Rate,97.4
2019,High income,Manufactured Capital,66.0
2019,High income,Micronutrient Availability,70.9
2019,High income,Natural Capital,50.5
2019,High income,Natural Hazard Exposure,68.7
2019,High income,Nutritional Standards,86.6
2019,High income,Per Capita GDP,75.0
2019,High income,Political Stability Risk,71.8
2019,High income,Population Growth Rate,82.0
2019,High income,Poverty Population,99.1
2019,High income,Protein Quality,94.4
2019,High income,Social Capital,74.7
2019,High income,Soil Organic Content,36.0
2019,High income,Supply Chain Infrastructure,73.9
2019,High income,Sustainable Agriculture,81.1
2019,High income,Telecommunications,79.4
2019,Low income,Access to Agricultural Resources,45.4
2019,Low income,Access to Diversified Financial Services,8.3
2019,Low income,Access to Financial Services,36.1
2019,Low income,Adoptation of Innovative Technologies,31.5
2019,Low income,Agricultural GDP,55.8
2019,Low income,Agricultural Production Volatility,68.1
2019,Low income,Agricultural R&D,19.5
2019,Low income,Agricultural Trade,60.5
2019,Low income,Agricultural Water Quality,4.2
2019,Low income,Agricultural Water Quantity,41.7
2019,Low income,Agricultural Women Empowerment,27.8
2019,Low income,Armed Conflict,52.8
2019,Low income,Biodiversity and Habitat,49.3
2019,Low income,Community Organizations,58.3
2019,Low income,Corruption,18.1
2019,Low income,Crop Storage Facilities,77.8
2019,Low income,Dependency on Chronic Food Aid,55.6
2019,Low income,Disaster Risk Management,32.0
2019,Low income,Early Warning Measures,47.2
2019,Low income,Ecosystem Services,31.8
2019,Low income,Financial Capital,41.7
2019,Low income,Food Dietary Diversity,44.5
2019,Low income,Food Loss,67.9
2019,Low income,Food Price Volatility,70.3
2019,Low income,Food Safety,33.5
2019,Low income,Food Safety Net Programs,28.2
2019,Low income,Food Security Policy Commitment,41.8
2019,Low income,Food Supply Sufficiency,43.6
2019,Low income,Food Systems Resilience Score,45.8
2019,Low income,Forest Change,67.3
2019,Low income,Gender Equality,41.6
2019,Low income,Green House Emission Per Capita,83.1
2019,Low income,Human Capital,52.9
2019,Low income,Income Inequality,32.5
2019,Low income,Irrigation Infrastructure,3.0
2019,Low income,KOFGI Globalization Index,45.9
2019,Low income,Labor Force Participation Rate,66.7
2019,Low income,Land Degradation,72.3
2019,Low income,Literacy Rate,66.5
2019,Low income,Manufactured Capital,37.2
2019,Low income,Micronutrient Availability,72.4
2019,Low income,Natural Capital,50.4
2019,Low income,Natural Hazard Exposure,65.7
2019,Low income,Nutritional Standards,46.5
2019,Low income,Per Capita GDP,16.0
2019,Low income,Political Stability Risk,36.9
2019,Low income,Population Growth Rate,44.5
2019,Low income,Poverty Population,27.8
2019,Low income,Protein Quality,41.3
2019,Low income,Social Capital,40.7
2019,Low income,Soil Organic Content,19.0
2019,Low income,Supply Chain Infrastructure,25.0
2019,Low income,Sustainable Agriculture,44.4
2019,Low income,Telecommunications,30.6
2019,Lower middle income,Access to Agricultural Resources,46.6
2019,Lower middle income,Access to Diversified Financial Services,35.5
2019,Lower middle income,Access to Financial Services,56.5
2019,Lower middle income,Adoptation of Innovative Technologies,29.0
2019,Lower middle income,Agricultural GDP,74.5
2019,Lower middle income,Agricultural Production Volatility,74.7
2019,Lower middle income,Agricultural R&D,19.1
2019,Lower middle income,Agricultural Trade,63.5
2019,Lower middle income,Agricultural Water Quality,11.7
2019,Lower middle income,Agricultural Water Quantity,40.6
2019,Lower middle income,Agricultural Women Empowerment,29.0
2019,Lower middle income,Armed Conflict,63.7
2019,Lower middle income,Biodiversity and Habitat,42.5
2019,Lower middle income,Community Organizations,82.3
2019,Lower middle income,Corruption,17.7
2019,Lower middle income,Crop Storage Facilities,83.9
2019,Lower middle income,Dependency on Chronic Food Aid,54.8
2019,Lower middle income,Disaster Risk Management,34.4
2019,Lower middle income,Early Warning Measures,24.2
2019,Lower middle income,Ecosystem Services,34.4
2019,Lower middle income,Financial Capital,56.0
2019,Lower middle income,Food Dietary Diversity,44.9
2019,Lower middle income,Food Loss,67.4
2019,Lower middle income,Food Price Volatility,73.1
2019,Lower middle income,Food Safety,67.1
2019,Lower middle income,Food Safety Net Programs,62.7
2019,Lower middle income,Food Security Policy Commitment,55.5
2019,Lower middle income,Food Supply Sufficiency,54.6
2019,Lower middle income,Food Systems Resilience Score,52.8
2019,Lower middle income,Forest Change,64.5
2019,Lower middle income,Gender Equality,53.6
2019,Lower middle income,Green House Emission Per Capita,69.0
2019,Lower middle income,Human Capital,60.0
2019,Lower middle income,Income Inequality,46.7
2019,Lower middle income,Irrigation Infrastructure,27.4
2019,Lower middle income,KOFGI Globalization Index,54.0
2019,Lower middle income,Labor Force Participation Rate,59.7
2019,Lower middle income,Land Degradation,58.4
2019,Lower middle income,Literacy Rate,88.3
2019,Lower middle income,Manufactured Capital,45.7
2019,Lower middle income,Micronutrient Availability,61.4
2019,Lower middle income,Natural Capital,47.6
2019,Lower middle income,Natural Hazard Exposure,67.5
2019,Lower middle income,Nutritional Standards,66.0
2019,Lower middle income,Per Capita GDP,34.9
2019,Lower middle income,Political Stability Risk,46.8
2019,Lower middle income,Population Growth Rate,63.1
2019,Lower middle income,Poverty Population,63.0
2019,Lower middle income,Protein Quality,51.4
2019,Lower middle income,Social Capital,53.2
2019,Lower middle income,Soil Organic Content,25.0
2019,Lower middle income,Supply Chain Infrastructure,33.6
2019,Lower middle income,Sustainable Agriculture,46.8
2019,Lower middle income,Telecommunications,59.4
2019,Upper middle income,Access to Agricultural Resources,50.9
2019,Upper middle income,Access to Diversified Financial Services,60.9
2019,Upper middle income,Access to Financial Services,87.0
2019,Upper middle income,Adoptation of Innovative Technologies,59.4
2019,Upper middle income,Agricultural GDP,87.5
2019,Upper middle income,Agricultural Production Volatility,69.3
2019,Upper middle income,Agricultural R&D,34.1
2019,Upper middle income,Agricultural Trade,72.8
2019,Upper middle income,Agricultural Water Quality,39.1
2019,Upper middle income,Agricultural Water Quantity,39.1
2019,Upper middle income,Agricultural Women Empowerment,23.9
2019,Upper middle income,Armed Conflict,80.4
2019,Upper middle income,Biodiversity and Habitat,48.9
2019,Upper middle income,Community Organizations,93.5
2019,Upper middle income,Corruption,34.8
2019,Upper middle income,Crop Storage Facilities,87.0
2019,Upper middle income,Dependency on Chronic Food Aid,60.9
2019,Upper middle income,Disaster Risk Management,61.9
2019,Upper middle income,Early Warning Measures,23.9
2019,Upper middle income,Ecosystem Services,37.0
2019,Upper middle income,Financial Capital,68.9
2019,Upper middle income,Food Dietary Diversity,52.8
2019,Upper middle income,Food Loss,75.5
2019,Upper middle income,Food Price Volatility,80.3
2019,Upper middle income,Food Safety,88.1
2019,Upper middle income,Food Safety Net Programs,97.0
2019,Upper middle income,Food Security Policy Commitment,46.2
2019,Upper middle income,Food Supply Sufficiency,59.5
2019,Upper middle income,Food Systems Resilience Score,61.8
2019,Upper middle income,Forest Change,70.7
2019,Upper middle income,Gender Equality,66.0
2019,Upper middle income,Green House Emission Per Capita,43.0
2019,Upper middle income,Human Capital,71.6
2019,Upper middle income,Income Inequality,54.9
2019,Upper middle income,Irrigation Infrastructure,17.3
2019,Upper middle income,KOFGI Globalization Index,62.3
2019,Upper middle income,Labor Force Participation Rate,58.8
2019,Upper middle income,Land Degradation,61.9
2019,Upper middle income,Literacy Rate,97.2
2019,Upper middle income,Manufactured Capital,55.6
2019,Upper middle income,Micronutrient Availability,67.0
2019,Upper middle income,Natural Capital,46.5
2019,Upper middle income,Natural Hazard Exposure,68.4
2019,Upper middle income,Nutritional Standards,74.7
2019,Upper middle income,Per Capita GDP,51.5
2019,Upper middle income,Political Stability Risk,55.4
2019,Upper middle income,Population Growth Rate,79.7
2019,Upper middle income,Poverty Population,91.9
2019,Upper middle income,Protein Quality,73.0
2019,Upper middle income,Social Capital,63.3
2019,Upper middle income,Soil Organic Content,32.0
2019,Upper middle income,Supply Chain Infrastructure,49.0
2019,Upper middle income,Sustainable Agriculture,67.4
2019,Upper middle income,Telecommunications,75.9
2020,High income,Access to Agricultural Resources,52.1
2020,High income,Access to Diversified Financial Services,82.4
2020,High income,Access to Financial Services,98.6
2020,High income,Adoptation of Innovative Technologies,78.4
2020,High income,Agricultural GDP,96.3
2020,High income,Agricultural Production Volatility,63.9
2020,High income,Agricultural R&D,42.2
2020,High income,Agricultural Trade,78.1
2020,High income,Agricultural Water Quality,87.8
2020,High income,Agricultural Water Quantity,39.9
2020,High income,Agricultural Women Empowerment,23.0
2020,High income,Armed Conflict,93.9
2020,High income,Biodiversity and Habitat,60.7
2020,High income,Community Organizations,89.2
2020,High income,Corruption,70.9
2020,High income,Crop Storage Facilities,83.8
2020,High income,Dependency on Chronic Food Aid,100.0
2020,High income,Disaster Risk Management,66.6
2020,High income,Early Warning Measures,70.3
2020,High income,Ecosystem Services,34.9
2020,High income,Financial Capital,82.4
2020,High income,Food Dietary Diversity,61.8
2020,High income,Food Loss,86.3
2020,High income,Food Price Volatility,90.7
2020,High income,Food Safety,95.5
2020,High income,Food Safety Net Programs,98.6
2020,High income,Food Security Policy Commitment,33.1
2020,High income,Food Supply Sufficiency,86.9
2020,High income,Food Systems Resilience Score,70.0
2020,High income,Forest Change,74.6
2020,High income,Gender Equality,86.3
2020,High income,Green House Emission Per Capita,27.0
2020,High income,Human Capital,77.8
2020,High income,Income Inequality,74.7
2020,High income,Irrigation Infrastructure,26.4
2020,High income,KOFGI Globalization Index,NA
2020,High income,Labor Force Participation Rate,61.1
2020,High income,Land Degradation,81.5
2020,High income,Literacy Rate,97.4
2020,High income,Manufactured Capital,65.9
2020,High income,Micronutrient Availability,70.9
2020,High income,Natural Capital,50.4
2020,High income,Natural Hazard Exposure,68.7
2020,High income,Nutritional Standards,85.9
2020,High income,Per Capita GDP,74.3
2020,High income,Political Stability Risk,71.5
2020,High income,Population Growth Rate,80.7
2020,High income,Poverty Population,99.2
2020,High income,Protein Quality,94.4
2020,High income,Social Capital,75.2
2020,High income,Soil Organic Content,36.0
2020,High income,Supply Chain Infrastructure,73.8
2020,High income,Sustainable Agriculture,85.1
2020,High income,Telecommunications,78.6
2020,Low income,Access to Agricultural Resources,49.2
2020,Low income,Access to Diversified Financial Services,5.6
2020,Low income,Access to Financial Services,38.9
2020,Low income,Adoptation of Innovative Technologies,33.3
2020,Low income,Agricultural GDP,55.2
2020,Low income,Agricultural Production Volatility,69.3
2020,Low income,Agricultural R&D,16.4
2020,Low income,Agricultural Trade,60.0
2020,Low income,Agricultural Water Quality,4.2
2020,Low income,Agricultural Water Quantity,41.7
2020,Low income,Agricultural Women Empowerment,27.8
2020,Low income,Armed Conflict,47.2
2020,Low income,Biodiversity and Habitat,50.4
2020,Low income,Community Organizations,58.3
2020,Low income,Corruption,19.4
2020,Low income,Crop Storage Facilities,83.3
2020,Low income,Dependency on Chronic Food Aid,33.3
2020,Low income,Disaster Risk Management,31.9
2020,Low income,Early Warning Measures,47.2
2020,Low income,Ecosystem Services,30.1
2020,Low income,Financial Capital,41.0
2020,Low income,Food Dietary Diversity,44.9
2020,Low income,Food Loss,66.9
2020,Low income,Food Price Volatility,67.4
2020,Low income,Food Safety,34.7
2020,Low income,Food Safety Net Programs,26.7
2020,Low income,Food Security Policy Commitment,44.7
2020,Low income,Food Supply Sufficiency,32.8
2020,Low income,Food Systems Resilience Score,44.9
2020,Low income,Forest Change,67.3
2020,Low income,Gender Equality,41.8
2020,Low income,Green House Emission Per Capita,83.1
2020,Low income,Human Capital,49.8
2020,Low income,Income Inequality,32.7
2020,Low income,Irrigation Infrastructure,3.0
2020,Low income,KOFGI Globalization Index,NA
2020,Low income,Labor Force Participation Rate,65.1
2020,Low income,Land Degradation,72.3
2020,Low income,Literacy Rate,30.8
2020,Low income,Manufactured Capital,35.0
2020,Low income,Micronutrient Availability,72.4
2020,Low income,Natural Capital,50.2
2020,Low income,Natural Hazard Exposure,65.7
2020,Low income,Nutritional Standards,49.2
2020,Low income,Per Capita GDP,15.2
2020,Low income,Political Stability Risk,36.1
2020,Low income,Population Growth Rate,32.7
2020,Low income,Poverty Population,32.7
2020,Low income,Protein Quality,41.3
2020,Low income,Social Capital,38.5
2020,Low income,Soil Organic Content,19.0
2020,Low income,Supply Chain Infrastructure,24.7
2020,Low income,Sustainable Agriculture,41.7
2020,Low income,Telecommunications,31.9
2020,Lower middle income,Access to Agricultural Resources,57.0
2020,Lower middle income,Access to Diversified Financial Services,35.5
2020,Lower middle income,Access to Financial Services,56.5
2020,Lower middle income,Adoptation of Innovative Technologies,30.1
2020,Lower middle income,Agricultural GDP,73.6
2020,Lower middle income,Agricultural Production Volatility,74.9
2020,Lower middle income,Agricultural R&D,19.6
2020,Lower middle income,Agricultural Trade,63.1
2020,Lower middle income,Agricultural Water Quality,11.7
2020,Lower middle income,Agricultural Water Quantity,40.6
2020,Lower middle income,Agricultural Women Empowerment,30.6
2020,Lower middle income,Armed Conflict,64.5
2020,Lower middle income,Biodiversity and Habitat,42.8
2020,Lower middle income,Community Organizations,82.3
2020,Lower middle income,Corruption,18.5
2020,Lower middle income,Crop Storage Facilities,83.9
2020,Lower middle income,Dependency on Chronic Food Aid,32.3
2020,Lower middle income,Disaster Risk Management,41.3
2020,Lower middle income,Early Warning Measures,24.2
2020,Lower middle income,Ecosystem Services,33.7
2020,Lower middle income,Financial Capital,54.6
2020,Lower middle income,Food Dietary Diversity,44.7
2020,Lower middle income,Food Loss,67.4
2020,Lower middle income,Food Price Volatility,70.8
2020,Lower middle income,Food Safety,69.2
2020,Lower middle income,Food Safety Net Programs,59.3
2020,Lower middle income,Food Security Policy Commitment,57.2
2020,Lower middle income,Food Supply Sufficiency,44.2
2020,Lower middle income,Food Systems Resilience Score,51.8
2020,Lower middle income,Forest Change,64.4
2020,Lower middle income,Gender Equality,53.8
2020,Lower middle income,Green House Emission Per Capita,69.0
2020,Lower middle income,Human Capital,57.9
2020,Lower middle income,Income Inequality,46.8
2020,Lower middle income,Irrigation Infrastructure,27.4
2020,Lower middle income,KOFGI Globalization Index,NA
2020,Lower middle income,Labor Force Participation Rate,57.9
2020,Lower middle income,Land Degradation,58.4
2020,Lower middle income,Literacy Rate,92.0
2020,Lower middle income,Manufactured Capital,42.0
2020,Lower middle income,Micronutrient Availability,61.4
2020,Lower middle income,Natural Capital,47.6
2020,Lower middle income,Natural Hazard Exposure,67.5
2020,Lower middle income,Nutritional Standards,62.9
2020,Lower middle income,Per Capita GDP,34.0
2020,Lower middle income,Political Stability Risk,46.3
2020,Lower middle income,Population Growth Rate,56.9
2020,Lower middle income,Poverty Population,65.6
2020,Lower middle income,Protein Quality,51.4
2020,Lower middle income,Social Capital,50.8
2020,Lower middle income,Soil Organic Content,25.0
2020,Lower middle income,Supply Chain Infrastructure,33.5
2020,Lower middle income,Sustainable Agriculture,45.2
2020,Lower middle income,Telecommunications,60.8
2020,Upper middle income,Access to Agricultural Resources,57.2
2020,Upper middle income,Access to Diversified Financial Services,63.0
2020,Upper middle income,Access to Financial Services,87.0
2020,Upper middle income,Adoptation of Innovative Technologies,60.9
2020,Upper middle income,Agricultural GDP,86.5
2020,Upper middle income,Agricultural Production Volatility,70.5
2020,Upper middle income,Agricultural R&D,35.9
2020,Upper middle income,Agricultural Trade,73.0
2020,Upper middle income,Agricultural Water Quality,39.1
2020,Upper middle income,Agricultural Water Quantity,39.1
2020,Upper middle income,Agricultural Women Empowerment,34.8
2020,Upper middle income,Armed Conflict,73.9
2020,Upper middle income,Biodiversity and Habitat,49.1
2020,Upper middle income,Community Organizations,93.5
2020,Upper middle income,Corruption,34.8
2020,Upper middle income,Crop Storage Facilities,95.7
2020,Upper middle income,Dependency on Chronic Food Aid,47.8
2020,Upper middle income,Disaster Risk Management,62.6
2020,Upper middle income,Early Warning Measures,23.9
2020,Upper middle income,Ecosystem Services,36.5
2020,Upper middle income,Financial Capital,67.6
2020,Upper middle income,Food Dietary Diversity,53.0
2020,Upper middle income,Food Loss,75.4
2020,Upper middle income,Food Price Volatility,73.5
2020,Upper middle income,Food Safety,89.7
2020,Upper middle income,Food Safety Net Programs,90.3
2020,Upper middle income,Food Security Policy Commitment,48.5
2020,Upper middle income,Food Supply Sufficiency,53.4
